Fraud date;Passport;FIO;Phone;Fraud type;Report date
03.05.2020  00:17:48;3791961371;Бухарец Игорь Николаевич;+79667902348 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  01:50:52;5074120512;Омелюшкин Никита Евгеньевич;+79599551193 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  02:49:12;5599490788;Белохов Дмитрий Дмитриевич;+79531661301 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  02:51:26;3462335082;Ачентов Николай Кириллович;+79143480318 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  03:05:27;6403074379;Ачентов Антон Дмитриевич;+79458324907 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  03:50:08;1298690726;Омелюшкин Василий Иванович;+79736583722 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  04:24:49;4783507057;Гуляков Кирилл Петрович;+79698158422 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  05:03:58;6437518744;Поджарый Павел Александрович;+79623080462 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  05:37:33;8980655264;Пудков Евгений Александрович;+79478301780 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  06:24:59;6183431135;Ачентов Владимир Александрович;+79943917322 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  06:56:46;7004798931;Гладишкин Александр Михаилович;+79239086361 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  08:50:27;5614998719;Комартин Валерий Романович;+79462161137 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  09:17:09;2688347024;Городиловский Валерий Александрович;+79214966894 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  10:01:27;7933786291;Городиловский Константин Михаилович;+79619233397 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  10:18:06;6277406059;Городиловский Василий Олегович;+79982479830 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  10:30:26;9188863087;Рубахов Иван Никитович;+79817798654 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  10:44:42;6342328971;Петропуло Александр Александрович;+79699195774 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  10:51:32;1265721588;Петропуло Игорь Павлович;+79454204196 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  11:08:44;9600352239;Гуляков Михаил Александрович;+79529669124 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  11:12:17;2589442754;Манвелян Игорь Петрович;+79661011475 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  11:31:38;3354134791;Гуляков Евгений Константинович;+79953939977 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  11:45:06;5080911147;Омелюшкин Антон Александрович;+79869514150 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  13:27:31;5564818710;Юнцов Игорь Валериевич;+79365300484 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  15:04:34;7909208960;Городиловский Владимир Сергеевич;+79593567861 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  15:12:18;7076445954;Мисик Сергей Николаевич;+79497481039 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  15:14:14;8778457371;Белохов Михаил Романович;+79954610552 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  15:16:29;1952408369;Юнцов Кирилл Кириллович;+79207942259 ;Совершение операции при недействующем договоре;05.11.2021
03.05.2020  15:28:40;3602724796;Сноркин Андрей Антонович;+79890926038 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  15:50:39;5243508487;Барецкий Павел Александрович;+79575705724 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  15:51:24;3526501586;Ачентов Владимир Петрович;+79575633581 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  15:55:19;8081589114;Хандрамайло Владимир Владимирович;+79656652391 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  16:05:19;7173036990;Поджарый Роман Александрович;+79343500689 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  16:27:47;7722740007;Бухарец Антон Сергеевич;+79249514649 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  16:47:08;2415173943;Мисик Иван Олегович;+79781630114 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  16:49:30;8084740583;Комартин Валерий Дмитриевич;+79533765239 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  17:04:01;8585112233;Пудков Петр Михаилович;+79256005183 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  17:08:27;1817664821;Рубахов Никита Михаилович;+79463620365 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  17:17:03;4581135200;Гуляков Василий Васильевич;+79497212935 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  17:42:45;3195562178;Мисик Сергей Олегович;+79181011177 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  17:52:46;4221537287;Манвелян Николай Павлович;+79539068761 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  18:25:38;8611132511;Фель Константин Васильевич;+79727028539 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  18:34:57;8108438217;Антощук Игорь Владимирович;+79451696230 ;Совершение операции при просроченном паспорте и недействующем договоре;05.11.2021
03.05.2020  18:36:51;5344966916;Сноркин Михаил Павлович;+79220281675 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  19:01:18;4098309799;Штыкашов Павел Александрович;+79605011479 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  19:02:54;8550980625;Сноркин Павел Олегович;+79618054901 ;Совершение операции при недействующем договоре;05.11.2021
03.05.2020  19:09:47;4726387191;Тепленко Михаил Кириллович;+79817765776 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  19:16:54;4707213670;Пудков Павел Романович;+79699177182 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  19:33:48;6145797023;Барецкий Василий Кириллович;+79891553815 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  19:42:46;2873672645;Сноркин Иван Дмитриевич;+79668999229 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  19:56:16;8521619473;Велдин Александр Михаилович;+79328601196 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:00:41;6445270790;Петропуло Николай Владимирович;+79886548801 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:03:40;7915924107;Штыкашов Александр Дмитриевич;+79585879616 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:04:49;9054168281;Мисик Андрей Константинович;+79652111522 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:10:23;3367869739;Наранов Антон Андреевич;+79985124886 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:11:11;5450128465;Комартин Иван Константинович;+79336632104 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:14:42;2921864972;Наранов Александр Петрович;+79753959402 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:15:26;4593720565;Городиловский Петр Романович;+79237254574 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  20:20:42;4816021015;Барецкий Петр Олегович;+79892519224 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
