Fraud date;Passport;FIO;Phone;Fraud type;Report date
02.05.2020  01:13:23;7933786291;Городиловский Константин Михаилович;+79619233397 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  01:41:22;2023060665;Наранов Константин Иванович;+79729384491 ;Совершение операции при недействующем договоре и в разных городах в течение 1 часа;05.11.2021
02.05.2020  01:47:21;6437518744;Поджарый Павел Александрович;+79623080462 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  03:16:36;2603146357;Манвелян Петр Кириллович;+79441042802 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  04:51:01;2589442754;Манвелян Игорь Петрович;+79661011475 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  04:57:58;5599490788;Белохов Дмитрий Дмитриевич;+79531661301 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  05:18:56;5614998719;Комартин Валерий Романович;+79462161137 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  05:29:20;8084740583;Комартин Валерий Дмитриевич;+79533765239 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  05:34:18;4581135200;Гуляков Василий Васильевич;+79497212935 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  05:37:58;7915924107;Штыкашов Александр Дмитриевич;+79585879616 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  05:50:31;8980655264;Пудков Евгений Александрович;+79478301780 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  06:10:07;4707213670;Пудков Павел Романович;+79699177182 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  06:44:36;3526501586;Ачентов Владимир Петрович;+79575633581 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  07:38:40;8307742530;Городиловский Михаил Антонович;+79211450416 ;Совершение операции при недействующем договоре и в разных городах в течение 1 часа;05.11.2021
02.05.2020  08:12:23;2327881587;Гладишкин Роман Сергеевич;+79214630163 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  08:15:12;6708391435;Барецкий Валерий Валериевич;+79596741150 ;Совершение операции при недействующем договоре и в разных городах в течение 1 часа;05.11.2021
02.05.2020  08:37:23;1298690726;Омелюшкин Василий Иванович;+79736583722 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  09:19:29;4726387191;Тепленко Михаил Кириллович;+79817765776 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  09:23:01;5074120512;Омелюшкин Никита Евгеньевич;+79599551193 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  09:37:27;6403074379;Ачентов Антон Дмитриевич;+79458324907 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  09:50:54;4750296809;Барецкий Андрей Владимирович;+79733608401 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  10:31:23;5450128465;Комартин Иван Константинович;+79336632104 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  10:34:45;2415173943;Мисик Иван Олегович;+79781630114 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  10:43:44;2939202395;Куратник Валерий Никитович;+79564008708 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
